threshold,precision,recall,f1,tp,fp,fn,tn,fraud_caught,fraud_missed,false_alerts,predicted_frauds,predicted_legitimate
0.46,0.594059405940594,0.8108108108108109,0.6857142857142857,60,41,14,42606,60,14,41,101,42620
0.47,0.594059405940594,0.8108108108108109,0.6857142857142857,60,41,14,42606,60,14,41,101,42620
0.48,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.49,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.5,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.51,0.6060606060606061,0.8108108108108109,0.6936416184971098,60,39,14,42608,60,14,39,99,42622
0.52,0.6185567010309279,0.8108108108108109,0.7017543859649122,60,37,14,42610,60,14,37,97,42624
0.53,0.625,0.8108108108108109,0.7058823529411765,60,36,14,42611,60,14,36,96,42625
0.54,0.6276595744680851,0.7972972972972973,0.7023809523809523,59,35,15,42612,59,15,35,94,42627
0.55,0.6413043478260869,0.7972972972972973,0.7108433734939759,59,33,15,42614,59,15,33,92,42629
0.56,0.6483516483516484,0.7972972972972973,0.7151515151515152,59,32,15,42615,59,15,32,91,42630
0.57,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.58,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.59,0.6590909090909091,0.7837837837837838,0.7160493827160493,58,30,16,42617,58,16,30,88,42633
0.6,0.6744186046511628,0.7837837837837838,0.725,58,28,16,42619,58,16,28,86,42635
0.61,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.62,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.63,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.64,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.65,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.66,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.67,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.68,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,42621,58,16,26,84,42637
0.69,0.6987951807228916,0.7837837837837838,0.7388535031847133,58,25,16,42622,58,16,25,83,42638
0.7,0.7073170731707317,0.7837837837837838,0.7435897435897436,58,24,16,42623,58,16,24,82,42639
0.71,0.7435897435897436,0.7837837837837838,0.7631578947368421,58,20,16,42627,58,16,20,78,42643
0.72,0.7532467532467533,0.7837837837837838,0.7682119205298014,58,19,16,42628,58,16,19,77,42644
0.73,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.74,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.75,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.76,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.77,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.78,0.7733333333333333,0.7837837837837838,0.7785234899328859,58,17,16,42630,58,16,17,75,42646
0.79,0.7837837837837838,0.7837837837837838,0.7837837837837838,58,16,16,42631,58,16,16,74,42647
0.8,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.81,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.82,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.83,0.7945205479452054,0.7837837837837838,0.7891156462585034,58,15,16,42632,58,16,15,73,42648
0.84,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.85,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.86,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.87,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.88,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.89,0.8028169014084507,0.7702702702702703,0.7862068965517242,57,14,17,42633,57,17,14,71,42650
0.9,0.7971014492753623,0.7432432432432432,0.7692307692307693,55,14,19,42633,55,19,14,69,42652
0.91,0.7971014492753623,0.7432432432432432,0.7692307692307693,55,14,19,42633,55,19,14,69,42652
0.92,0.8088235294117647,0.7432432432432432,0.7746478873239436,55,13,19,42634,55,19,13,68,42653
0.93,0.8088235294117647,0.7432432432432432,0.7746478873239436,55,13,19,42634,55,19,13,68,42653
0.94,0.8059701492537313,0.7297297297297297,0.7659574468085106,54,13,20,42634,54,20,13,67,42654
0.95,0.828125,0.7162162162162162,0.7681159420289855,53,11,21,42636,53,21,11,64,42657
0.96,0.8548387096774194,0.7162162162162162,0.7794117647058824,53,9,21,42638,53,21,9,62,42659
0.97,0.8833333333333333,0.7162162162162162,0.7910447761194029,53,7,21,42640,53,21,7,60,42661
0.98,0.9137931034482759,0.7162162162162162,0.803030303030303,53,5,21,42642,53,21,5,58,42663
0.99,0.9433962264150944,0.6756756756756757,0.7874015748031497,50,3,24,42644,50,24,3,53,42668
